и	i
туфельках	ˈtufɪlkəx
преувеличенной	
рукавицу	rʊkɐˈvit͡sʊ
престижа	prɪˈstiʐə
чернота	t͡ɕɪrnɐˈta
меньшие	ˈmenʂɨje
ударились	ʊˈdarɪlɪs
затрепетал	zətrɪpɪˈtaɫ
тревожную	
крылатых	
глубинке	ɡɫʊˈbinke
передразнивая	pɪrɪˈdraznɪvəjə
потек	
излечение	ɪzlɪˈt͡ɕenɪje
наименование	nəɪmɪnɐˈvanɪje
непреклонен	nɪprɪˈkɫonɪn
отелю	ɐˈtɛlʊ
абстрактного	
учащение	
свихнулся	svɪxˈnuɫsə
настойчивее	
разыскала	rəzɨˈskaɫə
иезуитов	ɪjɪzʊˈitəf
мура	ˈmurɐ
забав	zɐˈbaf
именуемое	
ремешке	rɪmɪʂˈke
микрорайон	ˌmikrərɐˈjɵn
марксист	markˈsist
засунула	zɐˈsunʊɫə
некрасивым	
скоты	skɐˈtɨ
древа	ˈdrevə
равняться	rɐvˈnat͡sːə
безотчетно	
важнейшей	
одетой	
засмотрелся	
рыбном	
важнейшее	
свидании	svɪˈdanɪɪ
неповадно	
отвала	ɐtˈvaɫə
протестую	prətɪˈstujʊ
уложены	
полого	pɐˈɫoɡə
космодром	kəsmɐˈdrom
докладов	dɐˈkɫadəf
решениями	rɪˈʂɛnɪjəmɪ
прихлебывал	
ничтожное	
горазд	ɡɐˈrast
дальности	ˈdalnəstɪ
недостоин	
изолятора	ɪzɐˈlatərə
архивные	
супермаркете	sʊpɪrˈmarkɪte
гостеприимный	ɡəstɪprɪˈimnɨj
волчок	vɐɫˈt͡ɕɵk
постановлению	pəstənɐˈvlenɪjʊ
архивных	
погрузка	pɐˈɡruskə
разливал	rəzlɪˈvaɫ
покатили	pəkɐˈtilɪ
отцовских	
мелководье	mɪɫkɐˈvodje
засовывает	zɐˈsovɨvəjɪt
формальным	
изумительной	
телевизионные	
скорбный	ˈskorbnɨj
телевизионный	tɪlɪvɪzɪˈonːɨj
устояли	ʊstɐˈjælɪ
действительный	dɪjstˈvitɪlnɨj
покушении	pəkʊˈʂɛnɪɪ
наполненная	
террористической	tɪrərɪˈstit͡ɕɪskəj
высушить	ˈvɨsʊʂɨt
крепился	krɪˈpiɫsə
табакерку	təbɐˈkerkʊ
путное	
меже	mɪˈʐɛ
возу	ˈvɔzu
гордыня	ɡɐrˈdɨnə
вынимают	vɨnɪˈmajʊt
предприняли	prɪtˈprinɪlɪ
скорлупу	skərɫʊˈpu
ничтожную	
скажется	ˈskaʐɨt͡sə
раскрытого	
украшает	ʊkrɐˈʂajɪt
пережитом	pɪrɪʐɨˈtom
четкое	
деятелями	ˈdejɪtɪləmɪ
притворяются	prɪtvɐˈræjʊt͡sə
выражалось	vɨrɐˈʐaɫəs
коварства	kɐˈvarstvə
притяжение	prɪtɪˈʐɛnɪje
хихикать	xɪˈxikət
упряжке	ʊˈpraʂke
вышитой	
диалектического	
прижаться	prɪˈʐat͡sːə
рогатого	rɐˈɡatəvə
дачные	
протекающих	
производств	prəɪzˈvot͡stf
шитьем	
лысине	ˈɫɨsɪne
отчалил	ɐˈt͡ɕːælɪɫ
освежить	ɐsvɪˈʐɨt
душистым	
склонных	
троллейбусной	
мошенники	mɐˈʂɛnːɪkɪ
влетело	vlɪˈteɫə
дождевые	
рыбный	ˈrɨbnɨj
разнообразным	
сквозняком	skvəznɪˈkom
моются	ˈmojʊt͡sə
подводы	pɐdˈvodɨ
семейству	sɪˈmejstvʊ
пугаться	pʊˈɡat͡sːə
удерживало	ʊˈderʐɨvəɫə
прикоснулась	prɪkɐsˈnuɫəs
заключением	zəklʉˈt͡ɕenɪjɪm
бежало	bɪˈʐaɫə
чертит	ˈt͡ɕertɪt
воспрепятствовать	vəsprɪˈpat͡stvəvət
проницательность	prənɪˈt͡satɪlnəst
пылало	pɨˈɫaɫə
просыпаются	prəsɨˈpajʊt͡sə
родительских	
нетерпимость	nɪtɪrˈpiməst
ярмарка	ˈjarmərkə
изготовлению	ɪzɡətɐˈvlenɪjʊ
групповая	
занятого	
почтенных	
фантастическими	
завидным	
признательности	prɪzˈnatɪlnəstɪ
зэк	zɛk
гарнизонной	
дачах	ˈdat͡ɕəx
богатыри	bəɡətɨˈri
охапки	ɐˈxapkɪ
травил	trɐˈviɫ
церковного	
преступными	
сторонник	stɐˈronːɪk
тюремная	
пьянь	pjæn
бактериологического	
миллионеры	mɪlɪɐˈnerɨ
волнистые	
простудиться	prəstʊˈdit͡sːə
валился	vɐˈliɫsə
кулинарные	
истерическим	
весеннюю	
сукины	
экономно	ɪkɐˈnomnə
возвратившись	vəzvrɐˈtifʂɨs
полегчает	pəlɪxˈt͡ɕæjɪt
ефрейтором	jɪˈfrejtərəm
оппонент	ɐpɐˈnent
славным	
любезная	
забирал	zəbɪˈraɫ
зимовье	
укрытый	ʊˈkrɨtɨj
гуманитарных	
мерку	ˈmerkʊ
испугал	ɪspʊˈɡaɫ
крохотным	
рыжеватый	rɨʐɨˈvatɨj
погромов	pɐˈɡroməf
ускоряет	ʊskɐˈræjɪt
манежа	mɐˈneʐə
штатских	ˈʂtat͡skɪx
предсказание	prɪt͡skɐˈzanɪje
аргумента	ɐrɡʊˈmentə
пересилил	pɪrɪˈsilɪɫ
преобладание	prɪəbɫɐˈdanɪje
эскизов	ɪˈskizəf
прокрался	prɐˈkraɫsə
пылает	pɨˈɫajɪt
достигнут	dɐˈstiɡnʊt
слушателям	ˈsɫuʂətɪləm
охранником	ɐˈxranːɪkəm
демократическим	
потревожить	pətrɪˈvoʐɨt
погибал	pəɡɪˈbaɫ
вымолвила	ˈvɨməɫvɪɫə
грачи	ɡrɐˈt͡ɕi
аудиенции	ɐʊdɪˈɛnt͡sɨɪ
обещаниями	ɐbɪˈɕːænɪjəmɪ
виноватыми	
эффективна	ɪfɪkˈtivnə
камуфляж	kamufläj
торопить	tərɐˈpit
отчетливое	
двухкомнатная	
выражалась	vɨrɐˈʐaɫəs
аэродромах	ɐɪrɐˈdroməx
трезвом	
отразиться	ɐtrɐˈzit͡sːə
стойкости	ˈstojkəstɪ
задается	
аборта	ɐˈbortə
швырять	ʂvɨˈræt
визжать	vɪˈʐːat
жужжанием	ʐʊˈʐːanɪjɪm
воют	ˈvojʊt
кольчуги	kɐlˈt͡ɕʉɡɪ
воображаемой	
валу	ˈvaɫʊ
шалости	ˈʂaɫəstɪ
семени	ˈsemɪnɪ
бушует	bʊˈʂujɪt
мучительного	
массовую	
абстрактной	
рези	ˈrezɪ
мухой	ˈmuxəj
азартные	
эпопея	epopeia
электронную	
исходные	
колледж	ˈkolɪt͡ʂʂ
ресурс	resurs
визиты	vɪˈzitɨ
цветущего	
правоохранительные	
соединялись	səjɪdɪˈnælɪs
госпожу	ɡəspɐˈʐu
богача	bəɡɐˈt͡ɕa
собран	ˈsɔbran
полевыми	pəlɪˈvɨmɪ
цветную	
проигрывать	prɐˈiɡrɨvət
облава	ɐˈbɫavə
благоприятные	
шапками	ˈʂapkəmɪ
сурьмы	sʊrˈmɨ
обрушиться	ɐˈbruʂɨt͡sə
благоприятных	
переведут	pɪrɪvɪˈdut
птичек	ˈptit͡ɕɪk
пристроились	prɪˈstroɪlɪs
высохшие	
охотничья	
гриф	ɡrif
занесет	
неведомыми	
формируются	fərmɪˈrujʊt͡sə
кабин	kɐˈbin
робкого	
корягу	kɐˈraɡʊ
вступала	fstʊˈpaɫə
страхования	strəxɐˈvanɪjə
минувшего	
ошарашен	
дурном	
сучий	ˈsut͡ʃei̯
конечную	
стенной	stɪˈnːoj
зашевелил	zəʂɨvɪˈliɫ
доступными	
процветание	prət͡svɪˈtanɪje
убирал	ʊbɪˈraɫ
издателю	ɪzˈdatɪlʊ
противные	
эвакуировать	ɪvəkʊˈirəvət
отойдите	ɐtɐjˈdite
торжестве	tərʐɨstˈve
робкой	
клочке	kɫɐt͡ɕˈke
пренебрегая	prɪnɪbrɪˈɡajə
подступала	pət͡sstʊˈpaɫə
болгарский	bɐɫˈɡarskɪj
курточка	ˈkurtət͡ɕkə
расписания	rəspɪˈsanɪjə
грел	ɡreɫ
удочка	ˈudət͡ɕkə
воображаемые	
невиданные	
попишешь	pɐˈpiʂɨʂ
определением	ɐprɪdɪˈlenɪjɪm
бананов	bɐˈnanəf
звездные	
наследственных	
расправились	rɐˈspravɪlɪs
возьмутся	vɐzˈmut͡sːə
тоталитарного	
зна	
включив	fklʉˈt͡ɕif
предполагаемой	
замедление	zəmɪdˈlenɪje
смешать	smɪˈʂat
проституции	prəstɪˈtut͡sɨɪ
упаковки	ʊpɐˈkofkɪ
тридцатилетний	trɪt͡sːɨtɪˈletnɪj
неподвижном	
служитель	sɫʊˈʐɨtɪl
замене	zɐˈmene
роскошное	
коттеджей	kɐˈtɛd͡ʐʐɨj
гоблинов	ˈɡoblɪnəf
лава	ˈɫavɐ
радикальные	
субординации	sʊbərdɪˈnat͡sɨɪ
яруса	ˈjarʊsə
тряпочки	ˈtrapət͡ɕkɪ
босую	
истолковать	ɪstəɫkɐˈvat
ткнуть	tknut
клетчатом	
координации	kɐɐrdɪˈnat͡sɨɪ
определяя	ɐprɪdɪˈlæjə
досягаемости	dəsɪˈɡajɪməstɪ
робких	
героин	geroin
заменив	zəmɪˈnif
депутатской	
уловка	ʊˈɫofkə
бабьего	
обозначают	ɐbəznɐˈt͡ɕæjʊt
плесень	ˈplesɪn
мечталось	mɪt͡ɕˈtaɫəs
тра	
причудливой	
непроходимость	
мартовский	ˈmartəfskɪj
ленивой	
состоялись	səstɐˈjælɪs
фашистская	
каре	kɐˈrɛ
примечательное	
пальнул	pɐlˈnuɫ
опорные	
явными	
слиплись	ˈsliplɪs
борщом	bɐrˈɕːɵm
грабит	ˈɡrabɪt
испорчен	ɪˈsport͡ɕɪn
конфузливо	
ножиком	ˈnoʐɨkəm
прохладе	prɐˈxɫade
психологов	psɪˈxoɫəɡəf
блуждать	bɫʊʐˈdat
ненавистный	nɪnɐˈvisnɨj
бессмысленную	
географические	
слабостей	ˈsɫabəstɪj
покорил	pəkɐˈriɫ
шоколадные	
завтраки	ˈzaftrəkɪ
минутам	mɪˈnutəm
искусственными	
прикасался	prɪkɐˈsaɫsə
древнему	
рвущихся	
выполняем	vɨpɐɫˈnæjɪm
обессиленный	ɐbɪˈsːilɪnːɨj
длительности	ˈdlitɪlnəstɪ
див	dif
ношение	nɐˈʂɛnɪje
выпускаются	vɨpʊˈskajʊt͡sə
определяли	ɐprɪdɪˈlælɪ
просторечии	prəstɐˈret͡ɕɪɪ
правдами	ˈpravdəmɪ
фантом	ˈfantɔm
божество	ˈbɔʒɛstvɔ
резиной	rɪˈzinəj
колыхалась	kəɫɨˈxaɫəs
кондитерской	kɐnˈditɪrskəj
эскимо	
статная	
идолов	ˈidəɫəf
уединения	ʊjɪdɪˈnenɪjə
зашумело	zəʂʊˈmeɫə
иммунитета	ɪmʊnɪˈtetə
окошечку	ɐˈkoʂɨt͡ɕkʊ
умению	ʊˈmenɪjʊ
идиотами	ɪdɪˈotəmɪ
заикался	zəɪˈkaɫsə
статься	ˈstat͡sːə
усилением	ʊsɪˈlenɪjɪm
категориями	kətɪˈɡorɪjəmɪ
льстило	ˈlstiɫə
загубил	zɐˈɡubiɫ
тревожили	trɪˈvoʐɨlɪ
неясного	
нижним	
мотоциклом	mətɐˈt͡sɨkɫəm
посадит	pɐˈsadɪt
спасают	spɐˈsajʊt
гениален	ɡɪnɪˈalɪn
затрещала	zətrɪˈɕːaɫə
предшествовали	prɪt͡ʂˈʂɛstvəvəlɪ
прекращаются	prɪkrɐˈɕːæjʊt͡sə
постанывал	pɐˈstanɨvəɫ
патент	patent
лисица	liˈsit͡sɐ
штампы	ˈʂtampɨ
перекиси	ˈperɪkɪsɪ
капканы	kɐpˈkanɨ
ларьку	ɫɐrˈku
хвастливо	xvɐsˈlivə
выказывал	vɨˈkazɨvəɫ
припоминал	prɪpəmɪˈnaɫ
отрубей	ɐtrʊˈbej
человечность	t͡ɕɪɫɐˈvet͡ɕnəst
настырный	nɐˈstɨrnɨj
закатанными	
отчетах	
заповеднике	zəpɐˈvednɪke
опрокидывая	ɐprɐˈkidɨvəjə
расставание	rəsːtɐˈvanɪje
вытаскивают	vɨˈtaskɪvəjʊt
западному	
восторженное	
чт	
певуче	
вздохами	ˈvzdoxəmɪ
уютное	
кабаках	kəbɐˈkax
жанров	ˈʐanrəf
шкипер	ˈʂkipɪr
доберешься	
спаслись	spɐsˈlis
появившиеся	
ездим	ˈjezdɪm
дубины	dʊˈbinɨ
загудело	zəɡʊˈdeɫə
нарисованный	nərɪˈsovənːɨj
выпадало	vɨpɐˈdaɫə
езжайте	jɪˈʐːajte
предстали	prɪt͡sˈtalɪ
очнулись	ɐt͡ɕˈnulɪs
мачта	ˈmat͡ɕtə
провозглашает	prəvəzɡɫɐˈʂajɪt
людская	
нагрянет	nɐˈɡrænɪt
разрывом	rɐzˈrɨvəm
отнеси	otnɛˈsi
сдерживаться	ˈzderʐɨvət͡sə
компетенцию	kəmpɪˈtent͡sɨjʊ
тюбика	ˈtʉbɪkə
окружать	ɐkrʊˈʐat
эстетика	estetika
тушенкой	
коварная	
подпер	
расслабленно	rɐsːˈɫablɪnːə
перебоев	pɪrɪˈbojɪf
гнала	ɡnɐˈɫa
курятнике	kʊˈrætnɪke
перитонит	
пьяницей	ˈpjænɪt͡sɨj
зверюга	
углубились	ʊɡɫʊˈbilɪs
нарастала	nərɐˈstaɫə
трехкомнатная	
баксы	ˈbaksɨ
небесным	
имитации	ɪmɪˈtat͡sɨɪ
отставив	ɐt͡sˈstavɪf
настоять	nəstɐˈjæt
погружаться	pəɡrʊˈʐat͡sːə
сервер	server
герое	ɡɪˈroje
манией	ˈmanɪjɪj
докторишка	dəktɐˈriʂkə
справитесь	ˈspravɪtɪs
хуторяне	xʊtɐˈræne
папашу	pɐˈpaʂʊ
неполный	nɪˈpoɫnɨj
недомогания	nɪdəmɐˈɡanɪjə
пятнистых	
катиться	kɐˈtit͡sːə
понимай	pənɪˈmaj
телеграммой	tɪlɪˈɡramːəj
зажглась	zɐʐˈɡɫas
названные	
занималось	zənɪˈmaɫəs
обедает	ɐˈbedəjɪt
непростительно	
сталинизма	stəlɪˈnizmə
пресловутого	
стружку	ˈstruʂkʊ
талия	ˈtalɪjə
приступает	prɪstʊˈpajɪt
дрожащую	
прославленных	
обыкновения	ɐbɨknɐˈvenɪjə
кошачьей	
невнятный	nɪvˈnatnɨj
вертикальной	
службами	ˈsɫuʐbəmɪ
посланника	pɐsˈɫanːɪkə
щенков	ɕːɪnˈkof
чертовы	
верстака	vɪrstɐˈka
служивый	
столовые	stɐˈɫovɨje
сестренку	
повлияло	pəvlɪˈjaɫə
предоставлен	
восхищен	
рукоятке	rʊkɐˈjatke
снасть	snast
скважины	ˈskvaʐɨnɨ
опасаются	ɐpɐˈsajʊt͡sə
приближенные	
мыльный	ˈmɨlnɨj
суди	ˈsudi
оного	ˈonəvə
грибок	ɡrɪˈbok
завершении	zəvɪrˈʂɛnɪɪ
смехе	ˈsmexe
настой	nɐˈstoj
польщен	
толкнув	tɐɫkˈnuf
адекватно	ɐdɨkˈvatnə
ценим	ˈt͡sɛnɪm
мандарины	məndɐˈrinɨ
голубому	ɡəɫʊˈbomʊ
коллективизацию	kəlɪktɪvɪˈzat͡sɨjʊ
просвечивали	prɐsˈvet͡ɕɪvəlɪ
няней	ˈnænɪj
песика	
макаронами	məkɐˈronəmɪ
неуместной	
восприятию	vəsprɪˈjætɪjʊ
гауптвахту	ɡəʊptˈvaxtʊ
ознакомился	ɐznɐˈkomɪɫsə
постороннее	
примесей	ˈprimɪsɪj
народному	
одури	ˈodʊrɪ
академический	ɐkədɪˈmit͡ɕɪskɪj
демонстраций	dɪmɐnˈstrat͡sɨj
погибшие	pɐˈɡipʂɨje
переодетый	pɪrɪɐˈdetɨj
отрезаны	
травили	trɐˈvilɪ
садизм	sɐˈdizm
оброс	ɐˈbros
петер	
перебежала	pɪrɪbɪˈʐaɫə
увлекательная	
рецепторы	rɪˈt͡sɛptərɨ
балку	ˈbaɫkʊ
умами	ʊˈmamɪ
хруста	ˈxrustə
диаграммы	dɪɐˈɡramːɨ
наружные	
брить	brit
властвовать	ˈvɫastvəvət
действительного	
возможными	
смертному	ˈsmertnəmʊ
уберег	
разряды	rɐzˈradɨ
приливы	prɪˈlivɨ
помаду	pɐˈmadʊ
туманными	
оценкой	ɐˈt͡sɛnkəj
заключались	zəklʉˈt͡ɕælɪs
балок	ˈbaɫək
консистории	
отмечаться	ɐtmɪˈt͡ɕat͡sːə
прыснул	ˈprɨsnʊɫ
инициатором	ɪnɪt͡sɨˈatərəm
жердей	ʐɨrˈdej
ориентируется	ɐrɪjɪnˈtirʊjɪt͡sə
диалектики	dɪɐˈlektɪkɪ
комплектов	kɐmˈplektəf
лопуха	ɫəpʊˈxa
этикетки	ɪtɪˈketkɪ
создадим	səzdɐˈdim
поплотнее	
сплевывает	
блокнотом	bɫɐkˈnotəm
еврейски	ɛˈvrɛjski
наехал	nɐˈjexəɫ
разрешала	rəzrɪˈʂaɫə
охарактеризовать	ɐxərəktɪrɪzɐˈvat
сообразно	sɔˈɔbraznɔ
барабанил	bərɐˈbanɪɫ
материнским	
казначей	kəznɐˈt͡ɕej
скользнули	skɐlzˈnulɪ
оправдан	ˈɔpravdan
смогло	smɐˈɡɫo
суша	ˈsuʃɐ
щедрой	
смертность	ˈsmertnəst
щепотку	ɕːɪˈpotkʊ
жетон	ʒɛˈtɔn
женихов	ʐɨnɪˈxof
отрешиться	ɐtrɪˈʂɨt͡sːə
загасил	zəɡɐˈsiɫ
влетит	vlɪˈtit
встанем	ˈfstanɪm
носителем	nɐˈsitɪlɪm
осадков	ɐˈsatkəf
самоубийца	səməʊˈbijt͡sə
веткой	ˈvetkəj
котлована	kətɫɐˈvanə
отведу	ɐtvɪˈdu
животами	ʐɨvɐˈtamɪ
обители	ɐˈbitɪlɪ
угощения	ʊɡɐˈɕːenɪjə
публикует	pʊblɪˈkujɪt
кабачок	kəbɐˈt͡ɕɵk
застежками	
грушами	ˈɡruʂəmɪ
напомним	nɐˈpomnɪm
предисловий	prɪdɪsˈɫovɪj
бомбежек	
сект	sekt
папоротника	ˈpapərətnɪkə
жратвой	ʐrɐtˈvoj
прозрачен	ˈprɔzrat͡ʃɛn
привыкшая	
громыхая	ɡrəmɨˈxajə
двинем	ˈdvinɪm
конвикте	
копировать	kɐˈpirəvət
вдов	vdof
выявлено	
комбрига	
каталась	kɐˈtaɫəs
раскачивались	rɐˈskat͡ɕɪvəlɪs
расправа	ˈrasprava
девается	dɪˈvajɪt͡sə
перевернула	pɪrɪvɪrˈnuɫə
принципиальная	
чернеет	t͡ɕɪrˈnejɪt
отнимал	ɐtnɪˈmaɫ
порол	pɐˈroɫ
вредительство	vrɪˈditɪlstvə
обозы	ɐˈbozɨ
элементам	ɪlɪˈmentəm
кандалы	kəndɐˈɫɨ
собери	səbɪˈri
этаких	ˈɛtəkɪx
землянка	zɪˈmlankə
рецензий	rɪˈt͡sɛnzɪj
переделках	pɪrɪˈdeɫkəx
провинциальным	
настроенных	
имевшего	
бровки	ˈbrofkɪ
воинственный	vɐˈinstvɪnːɨj
мамочке	ˈmamət͡ɕke
транквилизаторы	
паркете	pɐrˈkete
багровая	
трепался	trɪˈpaɫsə
поддавшись	pɐˈdːafʂɨs
расставлять	rəsːtɐˈvlæt
законодательстве	zəkənɐˈdatɪlstve
охотничьей	
терялась	tɪˈraɫəs
румяное	
растянулась	rəstɪˈnuɫəs
атаман	ataman
луков	ˈɫukɔf
польским	ˈpolskɪm
теоретическая	
ребятах	rɪˈbatəx
объезд	ɐbˈjest
лоснящийся	ɫɐsˈnæɕːɪjsə
беспредел	bɪsprɪˈdeɫ
нездешний	nɪzˈdeʂnɪj
цирковые	
вольного	ˈvolnəvə
ползущие	
разлетаются	rəzlɪˈtajʊt͡sə
необычайный	nɪəbɨˈt͡ɕæjnɨj
фильмам	ˈfilməm
ставилась	ˈstavɪɫəs
крикливые	
ажурные	
выборами	ˈvɨbərəmɪ
транспортировку	trənspərtɪˈrofkʊ
зудом	ˈzudəm
испугу	ɪˈspuɡʊ
эффективные	
сгладить	ˈzɡɫadɪt
распорядка	rəspɐˈratkə
баяне	bɐˈjæne
бледнеть	blɪdˈnet
обязательны	ɐbɪˈzatɪlnɨ
стрекотание	
быль	bɨl
тракторе	ˈtraktəre
пианиста	pɪɐˈnistə
оправдывать	ɐˈpravdɨvət
чернее	
встречаешь	fstrɪˈt͡ɕæjɪʂ
непроходимые	
щиту	ɕːɪˈtu
баров	ˈbarəf
сочетались	sət͡ɕɪˈtalɪs
невиновность	nɪvɪˈnovnəst
великолепен	vɛliˈkɔlɛpɛn
внедрить	vnɪˈdrit
зверям	zvɪˈram
достаются	dəstɐˈjut͡sːə
перетащить	pɪrɪtɐˈɕːit
ложи	ˈɫɔʒi
закутанный	zɐˈkutənːɨj
штурмовик	ˈʃturmɔvik
разбитом	
помешаю	pəmɪˈʂajʊ
найтись	nɐjˈtis
мзду	mzdu
спустит	ˈspustɪt
усну	ʊsˈnu
работодатель	rəbətɐˈdatɪl
неровной	
уклоняется	ʊkɫɐˈnæjɪt͡sə
парикмахера	pərɪkˈmaxɪrə
голоде	ˈɡoɫəde
послушали	pɐsˈɫuʂəlɪ
ремесленники	rɪˈmeslɪnːɪkɪ
великолепия	vɪlɪkɐˈlepɪjə
болезням	bɐˈleznəm
динозавров	dɪnɐˈzavrəf
защищался	zəɕːɪˈɕːaɫsə
крестьянскую	
иконе	ɪˈkone
устанавливал	ʊstɐˈnavlɪvəɫ
утвержден	
воспоминании	vəspəmɪˈnanɪɪ
рыбьего	
электроды	ɪlɪkˈtrodɨ
разрушены	
зачитал	zɐˈt͡ʃitɐɫ
польская	
околицы	ɐˈkolɪt͡sɨ
авторитетных	
редколлегии	rɪtkɐˈleɡɪɪ
поправляла	pəprɐˈvlaɫə
пробрались	prəbrɐˈlis
судит	ˈsudɪt
гномам	ˈɡnoməm
угольки	ʊɡɐlˈki
защищен	
соска	ˈsoskə
мрамором	ˈmramərəm
тактические	
рослые	
выпускается	vɨpʊˈskajɪt͡sə
возражают	vəzrɐˈʐajʊt
пренебрегать	prɪnɪbrɪˈɡat
неспособности	nɪspɐˈsobnəstɪ
разумными	rɐˈzumnɨmɪ
продашь	prɐˈdaʂ
ревновала	rɪvnɐˈvaɫə
ставите	ˈstavɪte
аудиторией	ɐʊdɪˈtorɪjɪj
описали	ɐpɪˈsalɪ
разыскивали	rɐˈzɨskɪvəlɪ
повышенный	pɐˈvɨʂɨnːɨj
почитали	poˈt͡ʃitɐli
страданиями	strɐˈdanɪjəmɪ
сородичей	sɐˈrodɪt͡ɕɪj
голосовали	ɡəɫəsɐˈvalɪ
перекрытия	pɪrɪˈkrɨtɪjə
симптомами	sɪmpˈtoməmɪ
разнообразием	rəznɐɐˈbrazɪjɪm
наживку	nɐˈʐɨfkʊ
опрятно	ɐˈpratnə
признавалась	prɪznɐˈvaɫəs
астрал	
переходах	pɪrɪˈxodəx
папироса	ˈpapirosa
утешением	ʊtɪˈʂɛnɪjɪm
революциями	rɪvɐˈlut͡sɨjəmɪ
смеркалось	smɪrˈkaɫəs
противотанковых	
сохраняла	səxrɐˈnaɫə
баржа	ˈbarʒa
храбростью	ˈxrabrəstjʊ
теплилась	ˈteplɪɫəs
неудачником	nɪʊˈdat͡ɕnɪkəm
треугольнике	trɪʊˈɡolnɪke
бесполезные	
загремело	zəɡrɪˈmeɫə
подъему	
сочинитель	sət͡ɕɪˈnitɪl
запишем	zɐˈpiʂɨm
подсчитывать	pɐt͡ɕˈɕːitɨvət
развязали	rəzvɪˈzalɪ
державой	dɪrˈʐavəj
вознаграждения	vəznəɡrɐʐˈdenɪjə
электростанций	ɪˌlektrɐˈstant͡sɨj
чашек	ˈt͡ɕaʂɨk
шайкой	ˈʂajkəj
проведен	ˈprɔvɛdɛn
пышная	
школьное	
производя	prəɪzvɐˈda
разлюбил	rɐzˈlu̟biɫ
населяющих	
тенор	tɛˈnɔr
газами	ˈɡazəmɪ
замках	ˈzamkəx
кисты	kɪˈstɨ
организует	ɐrɡənɪˈzujɪt
подражание	pədrɐˈʐanɪje
рекомендуются	rɪkəmɪnˈdujʊt͡sə
заслоняли	zəsɫɐˈnælɪ
изъян	ɪzˈjan
дивно	ˈdivnə
честолюбия	t͡ɕɪstɐˈlʉbɪjə
купленного	
скуластое	
отверстием	ɐtˈverstɪjɪm
луку	ˈɫukʊ
сочиняли	sət͡ɕɪˈnælɪ
полкам	pɐɫˈkam
бравые	
повысили	pɐˈvɨsɪlɪ
зажатым	
завернула	zəvɪrˈnuɫə
питомцев	pɪˈtomt͡sɨf
американка	ɐmɪrɪˈkankə
вносил	vnɐˈsiɫ
множественные	
спрячь	spræt͡ɕ
побеждали	pəbɪʐˈdalɪ
отвратительных	
изысканные	
понижается	pənɪˈʐajɪt͡sə
самочувствия	səmɐˈt͡ɕustvɪjə
несете	
правильней	
тетрадке	tɪˈtratke
взобравшись	vzɐˈbrafʂɨs
пинать	pɪˈnat
узнавания	ʊznɐˈvanɪjə
совершенствовать	səvɪrˈʂɛnstvəvət
проступила	prəstʊˈpiɫə
обращению	ɐbrɐˈɕːenɪjʊ
удивленное	
надрывно	
удовлетворенный	
швейцарские	
тысячный	ˈtɨsɪt͡ɕnɨj
лизнуть	lɪzˈnut
поземка	
сторожку	stɐˈroʂkʊ
бревенчатый	brɪˈvent͡ɕɪtɨj
жизнеобеспечения	ˌʐɨznɪəbɪˈspet͡ɕɪnɪjə
безопасным	
монастырю	mənəstɨˈru
оделись	ɐˈdelɪs
приглашением	prɪɡɫɐˈʂɛnɪjɪm
привиделось	prɪˈvidɪɫəs
усиливать	ʊˈsilɪvət
стойким	
содержался	sədɪrˈʐaɫsə
математически	mɐtɛˈmatit͡ʃɛski
заметалась	zəmɪˈtaɫəs
действующими	
комроты	
переспать	pɪrɪˈspat
разреши	ˈrazrɛʃi
перешагнуть	pɪrɪʂɐɡˈnut
искупить	ɪskʊˈpit
сестричка	sɛˈstrit͡ʃkɐ
пропадало	prəpɐˈdaɫə
модерн	mɐˈdɛrn
соотношении	sɐɐtnɐˈʂɛnɪɪ
затишья	zɐˈtiʂjə
бугре	bʊˈɡre
кадет	kadet
боге	ˈboɡe
поверенный	pɐˈverɪnːɨj
являемся	jɪˈvlæjɪmsə
ступней	stʊpˈnej
вредность	ˈvrednəst
покоев	pɐˈkojɪf
мордочкой	ˈmordət͡ɕkəj
стилей	ˈstilɪj
снуют	snʊˈjut
деформации	dɪfɐrˈmat͡sɨɪ
подсадил	pət͡ssɐˈdiɫ
костяшки	kɐˈstaʂkɪ
дипломатический	dɪpɫəmɐˈtit͡ɕɪskɪj
карманных	
сослуживцами	səsɫʊˈʐɨft͡səmɪ
направленное	
отлетели	ɐtlɪˈtelɪ
шляется	ˈʂlæjɪt͡sə
послушным	
гуляш	ɡʊˈlaʂ
стукачей	stʊkɐˈt͡ɕej
высказали	ˈvɨskəzəlɪ
носатый	nɐˈsatɨj
опробовать	ɐˈprobəvət
отличал	ɐtlɪˈt͡ɕaɫ
выронила	ˈvɨrənɪɫə
общалась	ɐpˈɕːaɫəs
удила	ʊdɪˈɫa
байдарке	bɐjˈdarke
пластиковую	
попавшие	
убеждениям	ʊbɪʐˈdenɪjəm
пустынную	
олово	oˈɫɔvo
программного	
размеренным	
совершенству	səvɪrˈʂɛnstvʊ
престарелый	prɪstɐˈreɫɨj
претендую	prɪtɪnˈdujʊ
пионерских	
добровольное	
радиостанций	rədɪɐˈstant͡sɨj
бешеными	
свояк	svɐˈjak
веревочки	
объехал	ɐbˈjexəɫ
